Designator,Mid X,Mid Y,Rotation,Layer
A1,631.5563,-343.1908,0.0,top
J1,649.98,-351.230201,90.0,top
J2,651.4338,-362.684,270.0,top
Q2,629.8297,-334.264,270.0,top
Q3,632.3838,-344.8789,270.0,top
Q6,648.5374,-339.250801,90.0,top
Q7,648.4358,-326.601601,90.0,top
Q8,656.7566,-339.022201,270.0,top
Q9,656.6804,-326.576201,270.0,top
R10,627.6848,-350.1898,0.0,top
R3,627.634,-338.0232,0.0,top
R4,627.4054,-330.7334,0.0,top
R5,627.761,-325.5264,0.0,top
R6,627.2295,-345.6432,0.0,top
R7,633.9351,-340.3346,0.0,top
R8,634.1618,-335.0514,0.0,top
R9,627.5089,-341.3506,0.0,top
